timestamp,value,gesture
1764019534.2557857,916.0,round
1764099399.6820228,330.0,shoot
1764099470.1999876,1023.0,up_down
1764020102.868356,539.0,up_down
1764099512.620344,1023.0,up_down
1764019552.1609125,668.0,round
1764099476.911991,0.0,up_down
1764020230.0212555,680.0,shoot
1764099369.4326158,674.0,shoot
1764020102.6158528,0.0,up_down
1764019488.126556,419.0,round
1764020229.0588703,518.0,shoot
1764019477.3576734,305.0,round
1764099104.4286544,561.0,round
1764099381.5005894,222.0,shoot
1764020100.0665648,544.0,up_down
1764019523.4534645,241.0,round
1764020141.676496,660.0,up_down
1764099483.3557358,111.0,up_down
1764099468.3258302,796.0,up_down
1764099148.5878594,408.0,round
1764099462.308265,522.0,up_down
1764020236.023049,679.0,shoot
1764099417.4218931,670.0,shoot
1764020238.954623,611.0,shoot
1764099474.4757056,370.0,up_down
1764099374.09105,690.0,shoot
1764099484.7729182,1023.0,up_down
1764099478.1666386,1023.0,up_down
1764099466.352694,1023.0,up_down
1764099505.8367434,1023.0,up_down
1764020107.10917,499.0,up_down
1764020128.3923268,567.0,up_down
1764019484.9849398,577.0,round
1764099118.5170605,617.0,round
1764099481.8861325,1023.0,up_down
1764099116.253929,477.0,round
1764019475.1848826,325.0,round
1764099102.304242,412.0,round
1764099418.5628247,620.0,shoot
1764099119.418431,427.0,round
1764099113.1780777,597.0,round
1764099102.5114868,496.0,round
1764020207.5470266,748.0,shoot
1764099481.109347,1023.0,up_down
1764099391.8792226,778.0,shoot
1764099358.8501172,609.0,shoot
1764020109.8780625,533.0,up_down
1764099375.8381546,745.0,shoot
1764020104.1355903,809.0,up_down
1764099463.9809089,0.0,up_down
1764099503.0554569,540.0,up_down
1764020248.8582509,591.0,shoot
1764019529.5855875,1.0,round
1764020150.835507,265.0,up_down
1764020212.9792185,895.0,shoot
1764099118.0769715,539.0,round
1764019479.6300082,182.0,round
1764020134.1778026,525.0,up_down
1764099369.2617114,313.0,shoot
1764099481.196177,1023.0,up_down
1764019485.2143862,537.0,round
1764019505.757086,432.0,round
1764019557.1388755,516.0,round
1764099505.1547124,0.0,up_down
1764099462.7083955,491.0,up_down
1764019543.4880795,1023.0,round
1764099410.8010695,470.0,shoot
1764099489.08823,932.0,up_down
1764020237.360616,629.0,shoot
1764019538.4300508,393.0,round
1764019491.5052345,1015.0,round
1764099481.35313,219.0,up_down
1764020198.8191698,0.0,shoot
1764099499.5610538,1023.0,up_down
1764099478.729548,0.0,up_down
1764099382.8813543,633.0,shoot
1764099471.1347933,1023.0,up_down
1764020140.6923735,533.0,up_down
1764099383.2910776,697.0,shoot
1764099392.7682989,537.0,shoot
1764099515.9985085,881.0,up_down
1764099509.880932,952.0,up_down
1764099142.490359,516.0,round
1764099111.3722596,588.0,round
1764019497.0828836,62.0,round
1764020233.7177196,730.0,shoot
1764019525.9753962,317.0,round
1764020241.463288,558.0,shoot
1764019525.7629485,171.0,round
1764020239.880617,764.0,shoot
1764099485.6781557,921.0,up_down
1764099374.1069329,542.0,shoot
1764019542.9094205,504.0,round
1764099399.845469,628.0,shoot
1764020107.3924832,716.0,up_down
1764099147.0524552,624.0,round
1764099102.4445372,595.0,round
1764099362.160327,368.0,shoot
1764099406.9922798,592.0,shoot
1764099515.5889146,178.0,up_down
1764099375.4831476,164.0,shoot
1764020151.6777442,370.0,up_down
1764099357.510888,641.0,shoot
1764099513.0612805,170.0,up_down
1764099518.1500468,613.0,up_down
1764020099.8440037,426.0,up_down
1764020101.2549143,556.0,up_down
1764020243.58473,699.0,shoot
1764099376.0380037,805.0,shoot
1764020102.2794547,525.0,up_down
1764099390.64971,251.0,shoot
1764019503.5002213,1.0,round
1764099518.1453836,460.0,up_down
1764020119.1040535,486.0,up_down
1764099469.3737166,1023.0,up_down
1764020150.0509844,525.0,up_down
1764020243.1494684,604.0,shoot
1764020200.0479972,542.0,shoot
1764099110.3319037,736.0,round
1764099487.08767,247.0,up_down
1764019480.4951606,208.0,round
1764019536.5808065,413.0,round
1764019479.907004,1.0,round
1764020207.3865037,675.0,shoot
1764099509.4057825,457.0,up_down
1764019499.4883633,1.0,round
1764019529.253265,1023.0,round
1764019534.0977223,699.0,round
1764099501.174841,1023.0,up_down
1764020197.264916,36.0,shoot
1764020148.9681482,478.0,up_down
1764020206.5147228,0.0,shoot
1764099113.0276084,377.0,round
1764099373.4090571,252.0,shoot
1764099138.337118,537.0,round
1764099468.607118,76.0,up_down
1764099116.8560631,454.0,round
1764019519.399789,1023.0,round
1764020213.9293916,669.0,shoot
1764099476.6541328,255.0,up_down
1764019510.7900765,0.0,round
1764099102.3399708,409.0,round
1764020233.7981794,751.0,shoot
1764020144.9027703,735.0,up_down
